i,g,group,direction,Experiment
21,0,RL,S,2
12,0.152542373,RL,S,2
11,0,RL,S,2
10,0.03030303,RL,S,2
9,0.340659341,RL,S,2
102,0.510204082,IS,U,2
101,0,IS,U,2
92,0,IS,U,2
91,0.771428571,IS,U,2
90,0.153846154,IS,U,2
89,1,IS,U,2
80,0.4,IS,U,2
79,0.580645161,IS,U,2
78,0.44,IS,U,2
77,-1,IS,U,2
68,0.285714286,IS,U,2
67,0.294117647,IS,U,2
66,0.111111111,IS,U,2
65,0,IS,U,2
56,0.333333333,IS,U,2
55,-1,IS,U,2
54,0.0625,IS,U,2
53,-0.117647059,IS,U,2
44,0.782608696,IS,U,2
43,-1,IS,U,2
42,0,IS,U,2
41,0.888888889,IS,U,2
32,0.888888889,IS,U,2
31,0.096774194,IS,U,2
30,0.541666667,IS,U,2
29,-0.226666667,IS,U,2
20,0.92,IS,U,2
19,0.833333333,IS,U,2
18,0.666666667,IS,U,2
17,-0.035714286,IS,U,2
8,0.054545455,IS,U,2
7,0.220338983,IS,U,2
6,0.830985915,IS,U,2
5,0.836734694,IS,U,2
100,-0.031578947,READ,U,2
99,0,READ,U,2
98,0.826086957,READ,U,2
97,0.461538462,READ,U,2
88,0,READ,U,2
87,0,READ,U,2
86,0.131313131,READ,U,2
85,0.875,READ,U,2
76,0,READ,U,2
75,0.428571429,READ,U,2
74,0.142857143,READ,U,2
73,0.818181818,READ,U,2
64,0.50877193,READ,U,2
63,0.308641975,READ,U,2
62,0.444444444,READ,U,2
61,0,READ,U,2
52,0.4,READ,U,2
51,0.275,READ,U,2
50,-0.176470588,READ,U,2
49,0.459459459,READ,U,2
40,-0.333333333,READ,U,2
39,-1,READ,U,2
38,-0.063829787,READ,U,2
37,0.446808511,READ,U,2
28,0.888888889,READ,U,2
27,0.125,READ,U,2
26,1,READ,U,2
25,-0.466666667,READ,U,2
16,0.189189189,READ,U,2
15,1,READ,U,2
14,0.034482759,READ,U,2
13,0,READ,U,2
4,0.013333333,READ,U,2
3,-0.2,READ,U,2
2,-0.172413793,READ,U,2
1,-1,READ,U,2
96,-0.129032258,RL,U,2
95,0.103448276,RL,U,2
94,-0.2,RL,U,2
93,0,RL,U,2
84,-0.304347826,RL,U,2
83,0.13253012,RL,U,2
82,-0.016949153,RL,U,2
81,1,RL,U,2
72,0.789473684,RL,U,2
71,-0.233333333,RL,U,2
70,0.407407407,RL,U,2
69,0.285714286,RL,U,2
60,0.104166667,RL,U,2
59,0.078651685,RL,U,2
58,0.6,RL,U,2
57,0,RL,U,2
48,-0.108695652,RL,U,2
47,-0.142857143,RL,U,2
46,0.224489796,RL,U,2
45,0.051546392,RL,U,2
36,0,RL,U,2
35,-0.24137931,RL,U,2
34,-0.093023256,RL,U,2
33,0.258426966,RL,U,2
24,0.685393258,RL,U,2
23,-0.376344086,RL,U,2
22,0.325,RL,U,2
21,0,RL,U,2
12,0.878787879,RL,U,2
11,-1,RL,U,2
10,-0.032967033,RL,U,2
9,0.555555556,RL,U,2
