i,g,group,direction,Experiment
89,0.478005865,IS,F,1
80,0.706666667,IS,F,1
79,0.078864353,IS,F,1
78,-0.043478261,IS,F,1
77,0.705705706,IS,F,1
68,-0.4,IS,F,1
67,0.28802589,IS,F,1
66,-0.358490566,IS,F,1
65,0.235294118,IS,F,1
56,-1,IS,F,1
55,0.129943503,IS,F,1
54,0.007042254,IS,F,1
53,0.286764706,IS,F,1
44,-0.016949153,IS,F,1
43,0.169642857,IS,F,1
42,0.037037037,IS,F,1
41,0.630769231,IS,F,1
32,0.090909091,IS,F,1
31,-0.25,IS,F,1
30,0.061538462,IS,F,1
29,0.161904762,IS,F,1
20,0.483870968,IS,F,1
19,-0.409090909,IS,F,1
18,0.273469388,IS,F,1
17,0.524390244,IS,F,1
8,0.162650602,IS,F,1
7,0.162264151,IS,F,1
6,0.016393443,IS,F,1
5,0.330985915,IS,F,1
88,0.641791045,READ,F,1
87,1,READ,F,1
86,0.489361702,READ,F,1
85,-0.09375,READ,F,1
76,0.737051793,READ,F,1
75,0.564013841,READ,F,1
74,0.563909774,READ,F,1
73,0.628252788,READ,F,1
64,0.371257485,READ,F,1
63,0.25631769,READ,F,1
62,0.674698795,READ,F,1
61,0.62369338,READ,F,1
52,-0.156976744,READ,F,1
51,0.293650794,READ,F,1
50,0.318996416,READ,F,1
49,0.522580645,READ,F,1
40,0.539568345,READ,F,1
39,-0.143730887,READ,F,1
38,0.089005236,READ,F,1
37,0.333333333,READ,F,1
28,0.330316742,READ,F,1
27,-0.224334601,READ,F,1
26,0.336170213,READ,F,1
25,0.568181818,READ,F,1
16,-0.095652174,READ,F,1
15,-0.107438017,READ,F,1
14,0.333333333,READ,F,1
13,0.553191489,READ,F,1
100,0.345945946,RL,F,1
99,0.036065574,RL,F,1
98,0.331460674,RL,F,1
97,-0.301587302,RL,F,1
96,0.226415094,RL,F,1
95,-0.173913043,RL,F,1
94,0.304964539,RL,F,1
93,-0.270935961,RL,F,1
92,-0.03125,RL,F,1
91,0,RL,F,1
90,-0.04587156,RL,F,1
82,0.082474227,RL,F,1
81,0.092250923,RL,F,1
71,0.005405405,RL,F,1
70,0,RL,F,1
69,0.353535354,RL,F,1
59,0.331230284,RL,F,1
58,0.166666667,RL,F,1
57,-0.172413793,RL,F,1
47,0.308108108,RL,F,1
46,-0.352941176,RL,F,1
45,0.710526316,RL,F,1
35,0.79766537,RL,F,1
34,0.25,RL,F,1
33,0.338582677,RL,F,1
23,-0.153846154,RL,F,1
22,0.677419355,RL,F,1
21,-0.253012048,RL,F,1
11,-0.221843003,RL,F,1
10,0.129411765,RL,F,1
9,0.193181818,RL,F,1
89,0.305194805,IS,B,1
80,0.352331606,IS,B,1
79,-0.110344828,IS,B,1
78,-0.058823529,IS,B,1
77,0.580645161,IS,B,1
68,-0.292857143,IS,B,1
67,-0.101010101,IS,B,1
66,-0.273684211,IS,B,1
65,0.49825784,IS,B,1
56,0.13253012,IS,B,1
55,-0.265625,IS,B,1
54,0.182156134,IS,B,1
53,0.286173633,IS,B,1
44,0.069444444,IS,B,1
43,0.106060606,IS,B,1
42,0.549407115,IS,B,1
41,0.160120846,IS,B,1
32,-0.06741573,IS,B,1
31,-0.194630872,IS,B,1
30,-0.046808511,IS,B,1
29,-0.218978102,IS,B,1
20,0.299703264,IS,B,1
19,0.360824742,IS,B,1
18,-0.055072464,IS,B,1
17,-0.083591331,IS,B,1
8,-0.376623377,IS,B,1
7,0.136,IS,B,1
6,0.540229885,IS,B,1
5,0.587020649,IS,B,1
88,0.4875,READ,B,1
87,0.665024631,READ,B,1
86,0.627272727,READ,B,1
85,0.013824885,READ,B,1
76,0.476190476,READ,B,1
75,0.386503067,READ,B,1
74,0.522807018,READ,B,1
73,0.061538462,READ,B,1
64,0.577142857,READ,B,1
63,0.38047138,READ,B,1
62,-0.134948097,READ,B,1
61,0.809210526,READ,B,1
52,-0.315508021,READ,B,1
51,0.183431953,READ,B,1
50,0.209125475,READ,B,1
49,0.318965517,READ,B,1
40,0.402985075,READ,B,1
39,0.613095238,READ,B,1
38,-0.3125,READ,B,1
37,-0.443137255,READ,B,1
28,0.37366548,READ,B,1
27,-0.049275362,READ,B,1
26,0.621052632,READ,B,1
25,-0.109004739,READ,B,1
16,0.24057971,READ,B,1
15,0.309589041,READ,B,1
14,0.104395604,READ,B,1
13,-0.295238095,READ,B,1
100,0.11971831,RL,B,1
99,0.164021164,RL,B,1
98,0.321167883,RL,B,1
97,0.095477387,RL,B,1
96,0.067846608,RL,B,1
95,0.090322581,RL,B,1
94,0.070336391,RL,B,1
93,-0.064516129,RL,B,1
92,-0.141025641,RL,B,1
91,-0.128205128,RL,B,1
90,-0.222826087,RL,B,1
82,-0.115853659,RL,B,1
81,0.064935065,RL,B,1
71,0.456410256,RL,B,1
70,-0.22972973,RL,B,1
69,0.172972973,RL,B,1
59,0.25,RL,B,1
58,0.162303665,RL,B,1
57,0.198697068,RL,B,1
47,0.4,RL,B,1
46,0.231884058,RL,B,1
45,0,RL,B,1
35,-0.422924901,RL,B,1
34,0.12,RL,B,1
33,-0.026315789,RL,B,1
23,0.353191489,RL,B,1
22,-0.286908078,RL,B,1
21,-0.033962264,RL,B,1
11,0.243697479,RL,B,1
10,0.03649635,RL,B,1
9,0.218106996,RL,B,1
89,0.301818182,IS,S,1
80,0.568,IS,S,1
79,0.17721519,IS,S,1
78,0.015873016,IS,S,1
77,0.448275862,IS,S,1
68,0.076086957,IS,S,1
67,-0.118181818,IS,S,1
66,-0.031578947,IS,S,1
65,0.174603175,IS,S,1
56,-1,IS,S,1
55,-0.365384615,IS,S,1
54,0.346801347,IS,S,1
53,0.178947368,IS,S,1
44,0.489361702,IS,S,1
43,0.267326733,IS,S,1
42,0.265822785,IS,S,1
41,0.220338983,IS,S,1
32,0.131832797,IS,S,1
31,0,IS,S,1
30,-1,IS,S,1
29,0.070422535,IS,S,1
20,-0.028340081,IS,S,1
19,-0.056910569,IS,S,1
18,-0.423312883,IS,S,1
17,0.208791209,IS,S,1
8,0.407854985,IS,S,1
7,0.098484848,IS,S,1
6,0.695906433,IS,S,1
5,0.310843373,IS,S,1
88,0.564356436,READ,S,1
87,0.567010309,READ,S,1
86,0.134099617,READ,S,1
85,0.225806452,READ,S,1
76,0.655172414,READ,S,1
75,0.122641509,READ,S,1
74,0.135135135,READ,S,1
73,0.590733591,READ,S,1
64,0.025270758,READ,S,1
63,0.495726496,READ,S,1
62,-0.052264808,READ,S,1
61,0.110204082,READ,S,1
52,0.421686747,READ,S,1
51,0.253218884,READ,S,1
50,0.2,READ,S,1
49,0.263636364,READ,S,1
40,0.344086022,READ,S,1
39,0.385714286,READ,S,1
38,-0.168421053,READ,S,1
37,-0.435294118,READ,S,1
28,-0.01986755,READ,S,1
27,0.413793103,READ,S,1
26,0.4,READ,S,1
25,-0.078787879,READ,S,1
16,0.551724138,READ,S,1
15,-0.008849558,READ,S,1
14,0.196078431,READ,S,1
13,-0.136842105,READ,S,1
100,0.21630094,RL,S,1
99,0.044247788,RL,S,1
98,0.178470255,RL,S,1
97,-0.106145251,RL,S,1
96,0.137614679,RL,S,1
95,0.136842105,RL,S,1
94,0.339285714,RL,S,1
93,-0.543726236,RL,S,1
92,0.190635452,RL,S,1
91,0,RL,S,1
90,0.208121827,RL,S,1
82,0.284722222,RL,S,1
81,-0.190217391,RL,S,1
71,0.391304348,RL,S,1
70,0.464788732,RL,S,1
69,0.354497354,RL,S,1
59,0.435736677,RL,S,1
58,-0.024390244,RL,S,1
57,0.296551724,RL,S,1
47,0.777777778,RL,S,1
46,0.675675676,RL,S,1
45,0.1875,RL,S,1
35,-0.492957746,RL,S,1
34,0.569767442,RL,S,1
33,-0.438596491,RL,S,1
23,0.235294118,RL,S,1
22,-0.32885906,RL,S,1
21,-1,RL,S,1
11,-0.189873418,RL,S,1
10,0.161904762,RL,S,1
9,0.734463277,RL,S,1
89,0.628571429,IS,U,1
80,0.555555556,IS,U,1
79,0.714285714,IS,U,1
78,0.290780142,IS,U,1
77,0.494505495,IS,U,1
68,0.777777778,IS,U,1
67,0.338842975,IS,U,1
66,0.733333333,IS,U,1
65,0,IS,U,1
56,0.793814433,IS,U,1
55,-0.171270718,IS,U,1
54,0.705882353,IS,U,1
53,0,IS,U,1
44,0.080357143,IS,U,1
43,-0.189189189,IS,U,1
42,0.47008547,IS,U,1
41,-0.131578947,IS,U,1
32,0.170731707,IS,U,1
31,0.122112211,IS,U,1
30,0.068322981,IS,U,1
29,-0.412587413,IS,U,1
20,0,IS,U,1
19,0.037433155,IS,U,1
18,0.46749226,IS,U,1
17,-0.092783505,IS,U,1
8,-1,IS,U,1
7,0.231441048,IS,U,1
6,0.538461538,IS,U,1
5,0.582329317,IS,U,1
88,0.376470588,READ,U,1
87,-0.440860215,READ,U,1
86,0.555555556,READ,U,1
85,0.16,READ,U,1
76,1,READ,U,1
75,0,READ,U,1
74,-0.5,READ,U,1
73,0.581818182,READ,U,1
64,-1,READ,U,1
63,-0.220338983,READ,U,1
62,0.263157895,READ,U,1
61,0.268817204,READ,U,1
52,0.159090909,READ,U,1
51,0.424354244,READ,U,1
50,0.188034188,READ,U,1
49,0.473684211,READ,U,1
40,0.175572519,READ,U,1
39,0.419354839,READ,U,1
38,-0.462809917,READ,U,1
37,0.497630332,READ,U,1
28,-0.777777778,READ,U,1
27,0.71875,READ,U,1
26,0.615384615,READ,U,1
25,0.005025126,READ,U,1
16,0.339622642,READ,U,1
15,0.897435897,READ,U,1
14,0.433476395,READ,U,1
