i,g,group,direction,Experiment
13,0.379790941,READ,U,1
100,-0.081481481,RL,U,1
99,0.249283668,RL,U,1
98,0.783783784,RL,U,1
97,0.177083333,RL,U,1
96,0.75,RL,U,1
95,0.294460641,RL,U,1
94,0.025641026,RL,U,1
93,0.121212121,RL,U,1
92,0.90625,RL,U,1
91,0.141025641,RL,U,1
90,0.139318885,RL,U,1
82,0.491712707,RL,U,1
81,0.388888889,RL,U,1
71,0.020979021,RL,U,1
70,0.328125,RL,U,1
69,0.507853403,RL,U,1
59,0.285714286,RL,U,1
58,0.48,RL,U,1
57,0.265957447,RL,U,1
47,0.123893805,RL,U,1
46,0.287671233,RL,U,1
45,0.800539084,RL,U,1
35,0.103064067,RL,U,1
34,0.271428571,RL,U,1
33,0.402843602,RL,U,1
23,0.233429395,RL,U,1
22,-0.066666667,RL,U,1
21,0.38658147,RL,U,1
11,0.129186603,RL,U,1
10,0.326923077,RL,U,1
9,0.948717949,RL,U,1
