JOL_Bin,Direction,Average,CI,Upper,Lower
0,B,58.33333333,17.84136749,76.17470082,40.49196584
10,B,47.58297258,16.18416735,63.76713993,31.39880524
20,B,49.19115972,18.52025918,67.71141889,30.67090054
30,B,58.04896858,17.17147778,75.22044635,40.8774908
40,B,58.49820487,17.61485387,76.11305875,40.883351
50,B,62.30433036,17.23588798,79.54021834,45.06844237
60,B,66.85561241,15.21643963,82.07205204,51.63917278
70,B,71.80320151,16.29640433,88.09960584,55.50679718
80,B,70.47385621,15.40786316,85.88171937,55.06599305
90,B,68.02805675,15.85405144,83.88210819,52.17400531
100,B,60.16260163,17.03187696,77.19447858,43.13072467
0,F,30,16.73668625,46.73668625,13.26331375
10,F,58.20512821,18.9776184,77.1827466,39.22750981
20,F,78.20512821,13.01158261,91.21671082,65.19354559
30,F,86.77655678,10.66450088,97.44105765,76.1120559
40,F,85.49450549,12.42376754,97.91827304,73.07073795
50,F,84.71261249,13.78856172,98.50117421,70.92405077
60,F,85.38646694,11.46892608,96.85539302,73.91754086
70,F,87.1990222,11.41948847,98.61851067,75.77953373
80,F,82.44574701,12.01692872,94.46267572,70.42881829
90,F,77.7618675,15.38154456,93.14341206,62.38032294
100,F,73.68421053,15.31494199,88.99915252,58.36926854
0,S,50,24.5,74.5,25.5
10,S,79.62962963,0,79.62962963,79.62962963
20,S,93.91534392,11.54941076,105.4647547,82.36593316
30,S,89.47089947,9.260129589,98.73102906,80.21076988
40,S,87.81746032,11.97948438,99.7969447,75.83797594
50,S,86.73520924,12.84032179,99.57553102,73.89488745
60,S,84.12083015,10.64139251,94.76222266,73.47943765
70,S,85.15698535,14.23985707,99.39684242,70.91712828
80,S,81.02942974,11.69244297,92.72187271,69.33698677
90,S,80.89871079,14.60264794,95.50135872,66.29606285
100,S,78.43137255,14.29753491,92.72890746,64.13383763
0,U,27.77777778,15.73919382,43.5169716,12.03858395
10,U,40.38170824,17.47080899,57.85251723,22.91089925
20,U,53.19452105,17.43624751,70.63076856,35.75827354
30,U,55.12402012,16.49954001,71.62356013,38.62448012
40,U,58.21323049,17.45776047,75.67099096,40.75547002
50,U,57.67961996,17.32130447,75.00092443,40.35831549
60,U,57.84579787,16.69640536,74.54220323,41.14939251
70,U,61.50261924,17.42915326,78.93177251,44.07346598
80,U,54.87643841,16.48670133,71.36313974,38.38973708
90,U,51.71783626,17.34234246,69.06017872,34.37549379
100,U,43.75,17.4632679,61.2132679,26.2867321
