JOL_Bin,Direction,Average,CI,Upper,Lower
0,B,55.55555556,17.71598739,73.27154295,37.83956817
10,B,61.36721828,15.53852375,76.90574203,45.82869453
20,B,67.17302409,16.80686134,83.97988543,50.36616275
30,B,62.43543544,15.13374397,77.56917941,47.30169147
40,B,64.47247247,16.85481254,81.32728501,47.61765993
50,B,59.71336554,16.18040324,75.89376878,43.5329623
60,B,66.26037409,16.73362848,82.99400257,49.52674561
70,B,67.71796071,14.52201079,82.2399715,53.19594992
80,B,73.24234905,15.65561782,88.89796687,57.58673123
90,B,70.58759639,14.58123008,85.16882647,56.00636631
100,B,67.67676768,15.80150192,83.4782696,51.87526576
0,F,50,17.96729054,67.96729054,32.03270946
10,F,74.29620563,11.78512592,86.08133155,62.51107971
20,F,84.90226624,11.51505256,96.4173188,73.38721368
30,F,82.71582219,13.11451671,95.8303389,69.60130548
40,F,79.95892996,13.7504956,93.70942556,66.20843436
50,F,80.96903097,13.89216784,94.86119881,67.07686313
60,F,83.42067289,12.14456546,95.56523835,71.27610743
70,F,83.39507126,11.43802793,94.83309919,71.95704333
80,F,82.19557631,13.88537627,96.08095258,68.31020004
90,F,78.00068313,13.18872302,91.18940615,64.81196011
100,F,74.25742574,14.76975297,89.02717871,59.48767277
0,S,66.66666667,16.80686134,83.47352801,49.85980533
10,S,73.65811966,16.48129064,90.1394103,57.17682902
20,S,79.86726998,9.074117294,88.94138727,70.79315269
30,S,83.59084722,12.08381828,95.6746655,71.50702894
40,S,79.36482633,15.07827496,94.44310129,64.28655137
50,S,78.71123156,13.66508598,92.37631754,65.04614558
60,S,83.12757202,12.67894394,95.80651596,70.44862808
70,S,85.45034152,11.58709246,97.03743398,73.86324906
80,S,86.08165465,11.51082492,97.59247957,74.57082973
90,S,85.37030839,11.99548904,97.36579743,73.37481935
100,S,84.28571429,12.27714935,96.56286364,72.00856494
0,U,16.88311688,12.6743623,29.55747918,4.20875458
10,U,14.20032319,10.62295516,24.82327835,3.57736803
20,U,17.01143613,11.93874691,28.95018304,5.07268922
30,U,19.36833848,14.70946135,34.07779983,4.65887713
40,U,20.89211869,13.06397888,33.95609757,7.82813981
50,U,19.29090696,13.32536023,32.61626719,5.96554673
60,U,17.29534155,13.7504956,31.04583715,3.54484595
70,U,17.95392954,11.13604408,29.08997362,6.81788546
80,U,15.03789133,13.86175198,28.89964331,1.17613935
90,U,19.54427925,10.99286279,30.53714204,8.55141646
100,U,25.71428571,14.90565486,40.61994057,10.80863085
