"Sub.ID","Encoding","Group","Direction","JOL","Scored"
2,"READ","JOL B","B",78,0
2,"READ","JOL B","B",42,1
2,"READ","JOL B","B",80,0
2,"READ","JOL B","B",38,1
2,"READ","JOL B","B",67,1
2,"READ","JOL B","S",45,1
2,"READ","JOL B","S",26,1
2,"READ","JOL B","S",58,1
2,"READ","JOL B","S",45,1
2,"READ","JOL B","S",25,1
2,"READ","JOL B","S",39,1
2,"READ","JOL B","S",22,1
2,"READ","JOL B","S",37,0
2,"READ","JOL B","S",50,1
2,"READ","JOL B","S",43,0
2,"READ","JOL B","S",23,1
2,"READ","JOL B","S",27,0
2,"READ","JOL B","S",26,1
2,"READ","JOL B","S",18,0
2,"READ","JOL B","S",58,1
2,"READ","JOL B","S",18,1
2,"READ","JOL B","S",59,1
2,"READ","JOL B","S",23,0
2,"READ","JOL B","S",44,1
2,"READ","JOL B","S",55,1
2,"READ","JOL B","U",0,0
2,"READ","JOL B","U",22,0
2,"READ","JOL B","U",3,0
2,"READ","JOL B","U",1,1
2,"READ","JOL B","U",2,0
2,"READ","JOL B","U",7,0
2,"READ","JOL B","U",2,0
2,"READ","JOL B","U",5,1
2,"READ","JOL B","U",10,0
2,"READ","JOL B","U",7,0
2,"READ","JOL B","U",12,0
2,"READ","JOL B","U",6,0
2,"READ","JOL B","U",3,0
2,"READ","JOL B","U",4,1
2,"READ","JOL B","U",8,0
2,"READ","JOL B","U",12,0
2,"READ","JOL B","U",2,0
2,"READ","JOL B","U",NA,0
2,"READ","JOL B","U",8,1
2,"READ","JOL B","U",4,0
3,"READ","JOL C","F",10,0
3,"READ","JOL C","F",40,1
3,"READ","JOL C","F",99,0
3,"READ","JOL C","F",20,1
3,"READ","JOL C","F",10,0
3,"READ","JOL C","F",60,0
3,"READ","JOL C","F",10,0
3,"READ","JOL C","F",72,1
3,"READ","JOL C","F",100,0
3,"READ","JOL C","F",100,1
3,"READ","JOL C","F",3,1
3,"READ","JOL C","F",100,1
3,"READ","JOL C","F",NA,0
3,"READ","JOL C","F",1,1
3,"READ","JOL C","F",80,0
3,"READ","JOL C","F",75,0
3,"READ","JOL C","F",36,1
3,"READ","JOL C","F",50,1
