Subject,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,F0,F10,F20,F30,F40,F50,F60,F70,F80,F90,F100,S0,S10,S20,S30,S40,S50,S60,S70,S80,S90,S100,U0,U10,U20,U30,U40,U50,U60,U70,U80,U90,U100,Group
40,100,0,0,0,0,100,0,33.33333333,33.33333333,62.5,75,0,0,0,0,0,0,50,50,0,100,87.5,0,0,0,0,100,0,100,100,100,100,88.88888889,23.07692308,20,0,0,0,0,0,0,0,0,0,READ
49,0,0,0,66.66666667,0,100,75,100,100,0,20,0,0,75,100,100,0,100,50,100,100,100,0,0,0,0,0,50,0,0,40,33.33333333,100,0,16.66666667,0,75,0,100,0,0,0,0,0,READ
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,100,100,66.66666667,100,0,0,50,0,0,0,100,100,75,42.85714286,66.66666667,40,0,0,50,0,0,0,0,0,0,0,READ
51,0,100,75,100,60,0,0,0,0,0,0,0,0,37.5,0,100,100,0,0,0,0,0,0,0,100,100,100,85.71428571,100,100,100,0,0,0,0,25,25,20,0,100,50,100,0,0,READ
52,0,0,0,0,0,0,0,42.85714286,33.33333333,50,0,0,0,0,0,0,100,0,83.33333333,66.66666667,75,0,0,0,0,0,100,0,50,100,60,100,0,0,0,0,0,0,33.33333333,0,25,100,0,0,READ
61,0,0,0,25,0,0,0,0,0,16.66666667,66.66666667,0,0,0,50,100,100,0,33.33333333,0,71.42857143,100,0,0,0,0,0,100,100,50,0,33.33333333,66.66666667,0,0,0,0,0,0,0,0,0,0,0,READ
62,0,100,100,100,50,100,0,100,100,100,100,0,100,0,100,0,100,100,100,100,100,60,0,0,0,0,0,0,0,100,100,100,100,100,90,100,0,100,0,100,100,100,0,0,READ
63,0,0,0,0,0,0,100,66.66666667,77.77777778,100,0,0,0,0,0,0,0,0,25,25,100,0,0,0,0,0,0,0,0,100,25,81.81818182,0,0,0,0,100,0,0,50,14.28571429,75,0,0,READ
64,0,0,100,66.66666667,0,60,40,50,0,50,0,0,0,0,100,100,100,100,75,100,100,0,0,50,100,50,100,100,100,100,100,0,0,0,40,50,33.33333333,0,0,0,0,0,0,0,READ
73,0,0,0,0,0,0,0,100,0,66.66666667,0,0,0,0,0,0,0,0,0,0,66.66666667,80,0,0,0,0,0,0,0,0,0,33.33333333,64.28571429,0,0,0,0,0,0,0,100,0,0,50,READ
74,100,0,40,0,0,0,0,0,0,75,42.85714286,50,100,100,100,50,66.66666667,100,50,0,0,66.66666667,0,0,0,0,0,0,100,100,0,50,72.72727273,7.692307692,33.33333333,0,0,0,0,0,0,0,0,0,READ
75,0,0,0,100,100,100,100,80,100,0,0,0,0,0,100,100,100,100,66.66666667,100,0,0,0,0,0,0,100,100,66.66666667,66.66666667,83.33333333,0,0,0,0,20,0,16.66666667,50,100,0,0,0,0,READ
76,0,0,50,0,0,0,0,0,0,40,100,25,50,0,100,0,0,0,0,75,57.14285714,0,0,0,0,0,0,100,0,100,0,42.85714286,75,0,0,0,0,0,0,0,0,0,0,0,READ
85,0,0,0,0,0,0,100,0,10,37.5,0,0,0,0,0,0,0,0,100,76.92307692,83.33333333,0,0,0,0,0,0,0,0,0,62.5,60,100,0,0,0,0,0,0,0,25,0,0,0,READ
