"Cue","Target","Recall_Num"
"Bad","Delinquent",1
"Stomach","Digestion",2
"Money","Wage",3
"Hammer","Chisel",4
"News","Editor",5
"Sting","Hornet",6
"Cold","Bitter",7
"Plant","Root",8
"Bird","Swan",9
"Dog","Paw",10
"Out","Way",11
"Clean","Hygiene",12
"Water","Bridge",13
"Rock","Geology",14
"War","Revolution",15
"Talk","Discussion",16
"Cow","Herd",17
"Card","Credit",18
"Flower","Orchid",19
"Fish","Tuna",20
"Enough","Full",21
"Sip","Drink",22
"Cave","Dark",23
"Seize","Take",24
"Growth","Height",25
"Word","Sentence",26
"Wasp","Bug",27
"Division","Math",28
"Attorney","Law",29
"Fantastic","Great",30
"Latch","Key",31
"Chili","Hot",32
"Racket","Ball",33
"Chore","Work",34
"Famine","Hunger",35
"Drowsy","Sleep",36
"Stench","Smell",37
"Attire","Clothes",38
"Pilot","Plane",39
"Blaze","Fire",40
"Assignment","Due",41
"Amount","Number",42
"Site","Location",43
"Waste","Dump",44
"Jury","Trial",45
"Design","Architecture",46
"Bar","Grill",47
"Liver","Kidney",48
"End","Begin",49
"Wind","Blow",50
"Soda","Pop",51
"Cheese","Wine",52
"Toilet","Bathroom",53
"Salad","Lettuce",54
"Foot","Shoe",55
"Future","Past",56
"Decision","Choice",57
"Bee","Honey",58
"Child","Baby",59
"Round","Circle",60
"Clutter","Pusher",61
"Sacking","Dietary",62
"Hungry","Park",63
"Woman","Lift",64
"Belt","Soon",65
"Floor","Discover",66
"Business","Death",67
"Sight","Debate",68
"Bronze","Artery",69
"Hand","Fix",70
"Position","Machine",71
"Car","Happy",72
"Tuck","Allow",73
"Lion","Art",74
"Accident","Strong",75
"Riddle","Sugar",76
"Add","Valley",77
"Would","Cash",78
"Sick","Hide",79
"Vase","King",80
