"Subject","Encoding","Group","Cue","Target","Direction","Study_Num","JOL","Question","Recall_Num","Response"
2,"READ","JOL B","Glass","Breakable","B",32,46,"Glass - ?",32,"breakable"
2,"READ","JOL B","Dead","Coffin","B",33,67,"Dead - ?",33,"coffin"
2,"READ","JOL B","Plane","Aircraft","B",34,45,"Plane - ?",34,"aircraft"
2,"READ","JOL B","Fish","Sardine","B",35,43,"Fish - ?",35,""
2,"READ","JOL B","Baseball","League","B",36,78,"Baseball - ?",36,"catcher"
2,"READ","JOL B","Money","Banker","B",37,42,"Money - ?",37,"banker"
2,"READ","JOL B","Honest","Truthful","B",38,80,"Honest - ?",38,"truthfulness"
2,"READ","JOL B","Sleep","Nap","B",39,38,"Sleep - ?",39,"nap"
2,"READ","JOL B","Fight","Brawl","B",40,67,"Fight - ?",40,"brawl"
2,"READ","JOL B","Razor","Shave","S",41,45,"Razor - ?",41,"shave"
2,"READ","JOL B","Rights","Equal","S",42,26,"Rights - ?",42,"equal"
2,"READ","JOL B","Mason","Jar","S",43,58,"Mason - ?",43,"jar"
2,"READ","JOL B","Candle","Wax","S",44,45,"Candle - ?",44,"wax"
2,"READ","JOL B","Wrist","Bracelet","S",45,25,"Wrist - ?",45,"bracelet"
2,"READ","JOL B","Element","Carbon","S",46,39,"Element - ?",46,"carbon"
2,"READ","JOL B","Gone","Away","S",47,22,"Gone - ?",47,"away"
2,"READ","JOL B","Water","Drink","S",48,37,"Water - ?",48,"wet"
2,"READ","JOL B","Earth","Ground","S",49,50,"Earth - ?",49,"ground"
2,"READ","JOL B","Alone","Lonely","S",50,43,"Alone - ?",50,"loneliness"
2,"READ","JOL B","Dry","Wet","S",51,23,"Dry - ?",51,"wet"
2,"READ","JOL B","Safety","Seatbelt","S",52,27,"Safety - ?",52,"first"
2,"READ","JOL B","Truth","Lie","S",53,26,"Truth - ?",53,"lie"
2,"READ","JOL B","Phone","Communication","S",54,18,"Phone - ?",54,"communicate"
2,"READ","JOL B","Rod","Reel","S",55,58,"Rod - ?",55,"reel"
2,"READ","JOL B","Flea","Tick","S",56,18,"Flea - ?",56,"tick"
2,"READ","JOL B","Loud","Noise","S",57,59,"Loud - ?",57,"noise"
2,"READ","JOL B","Own","Have","S",58,23,"Own - ?",58,"take"
2,"READ","JOL B","Tantrum","Temper","S",59,44,"Tantrum - ?",59,"temper"
2,"READ","JOL B","Sun","Tan","S",60,55,"Sun - ?",60,"tan"
2,"READ","JOL B","Justice","Maroon","U",61,0,"Justice - ?",61,""
2,"READ","JOL B","Stretch","Cloth","U",62,22,"Stretch - ?",62,""
2,"READ","JOL B","Give","Steak","U",63,3,"Give - ?",63,""
2,"READ","JOL B","Maze","Election","U",64,1,"Maze - ?",64,"election"
2,"READ","JOL B","Vehicle","Charm","U",65,2,"Vehicle - ?",65,"window"
2,"READ","JOL B","Meat","Obtain","U",66,7,"Meat - ?",66,"give"
2,"READ","JOL B","Crackle","Able","U",67,2,"Crackle - ?",67,"pop"
2,"READ","JOL B","Shell","Shake","U",68,5,"Shell - ?",68,"shake"
2,"READ","JOL B","Listen","Fiction","U",69,10,"Listen - ?",69,""
2,"READ","JOL B","Keys","Joke","U",70,7,"Keys - ?",70,""
2,"READ","JOL B","Cake","Clothes","U",71,12,"Cake - ?",71,""
2,"READ","JOL B","Name","Hate","U",72,6,"Name - ?",72,""
2,"READ","JOL B","Fuzzy","Bang","U",73,3,"Fuzzy - ?",73,""
2,"READ","JOL B","Moat","Clear","U",74,4,"Moat - ?",74,"clear"
2,"READ","JOL B","Lease","Toil","U",75,8,"Lease - ?",75,"take"
2,"READ","JOL B","Loan","Sign","U",76,12,"Loan - ?",76,"take"
2,"READ","JOL B","Both","Ounce","U",77,2,"Both - ?",77,"and"
2,"READ","JOL B","Temperature","Morning","U",78,NA,"Temperature - ?",78,"hot"
2,"READ","JOL B","Mirror","Children","U",79,8,"Mirror - ?",79,"children"
2,"READ","JOL B","Main","Scar","U",80,4,"Main - ?",80,""
6,"IS","JOL B","Extension","Long","F",1,40,"Extension - ?",1,"long"
6,"IS","JOL B","Clue","Game","F",2,8,"Clue - ?",2,"game"
6,"IS","JOL B","Cactus","Plant","F",3,70,"Cactus - ?",3,"plant"
6,"IS","JOL B","Shoelace","Tie","F",4,20,"Shoelace - ?",4,"tie"
6,"IS","JOL B","Detective","Mystery","F",5,12,"Detective - ?",5,"mystery"
6,"IS","JOL B","Adjourn","End","F",6,10,"Adjourn - ?",6,"end"
6,"IS","JOL B","Furry","Dog","F",7,60,"Furry - ?",7,"dog"
6,"IS","JOL B","Litter","Trash","F",8,50,"Litter - ?",8,"trash"
6,"IS","JOL B","Cherry","Red","F",9,40,"Cherry - ?",9,"red"
6,"IS","JOL B","Scalp","Head","F",10,18,"Scalp - ?",10,"head"
6,"IS","JOL B","Driver","Car","F",11,80,"Driver - ?",11,"car"
6,"IS","JOL B","Chop","Cut","F",12,20,"Chop - ?",12,"cut"
6,"IS","JOL B","Mule","Donkey","F",13,15,"Mule - ?",13,"donkey"
6,"IS","JOL B","Document","Paper","F",14,10,"Document - ?",14,"paper"
6,"IS","JOL B","Incense","Smell","F",15,10,"Incense - ?",15,"smll"
6,"IS","JOL B","Dine","Eat","F",16,15,"Dine - ?",16,"eat"
6,"IS","JOL B","Shears","Scissors","F",17,25,"Shears - ?",17,"scissors"
6,"IS","JOL B","Feud","Fight","F",18,30,"Feud - ?",18,"fight"
6,"IS","JOL B","Chill","Cold","F",19,8,"Chill - ?",19,"cold"
6,"IS","JOL B","Affection","Love","F",20,60,"Affection - ?",20,"love"
6,"IS","JOL B","Turn","Flip","B",21,10,"Turn - ?",21,"flip"
6,"IS","JOL B","Car","Windshield","B",22,40,"Car - ?",22,""
6,"IS","JOL B","Bad","Villain","B",23,60,"Bad - ?",23,"villian"
6,"IS","JOL B","Bird","Penguin","B",24,60,"Bird - ?",24,"penguin"
6,"IS","JOL B","Star","Actress","B",25,10,"Star - ?",25,"actress"
6,"IS","JOL B","Thread","Thimble","B",26,5,"Thread - ?",26,"thimble"
6,"IS","JOL B","Even","Revenge","B",27,5,"Even - ?",27,"revenge"
6,"IS","JOL B","Pop","Balloon","B",28,40,"Pop - ?",28,"balloon"
6,"IS","JOL B","Fruit","Strawberry","B",29,20,"Fruit - ?",29,"strawberry"
6,"IS","JOL B","Best","Favorite","B",30,8,"Best - ?",30,"favorite"
6,"IS","JOL B","Cat","Panther","B",31,25,"Cat - ?",31,"panther"
6,"IS","JOL B","Glass","Breakable","B",32,30,"Glass - ?",32,"breakable"
6,"IS","JOL B","Dead","Coffin","B",33,80,"Dead - ?",33,"coffin"
6,"IS","JOL B","Plane","Aircraft","B",34,30,"Plane - ?",34,"aircraft"
6,"IS","JOL B","Fish","Sardine","B",35,18,"Fish - ?",35,"sardine"
6,"IS","JOL B","Baseball","League","B",36,80,"Baseball - ?",36,""
6,"IS","JOL B","Money","Banker","B",37,80,"Money - ?",37,"banker"
