Sub.ID,Encoding,Group,Direction,JOL,Scored,Experiment
3,READ,JOL C,B,89,1,2
3,READ,JOL C,B,99,1,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,0,2
3,READ,JOL C,S,85,1,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,0,2
3,READ,JOL C,S,69,0,2
3,READ,JOL C,S,100,1,2
3,READ,JOL C,S,40,0,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,0,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,0,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,0,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,S,99,1,2
3,READ,JOL C,U,30,0,2
3,READ,JOL C,U,20,0,2
3,READ,JOL C,U,25,0,2
3,READ,JOL C,U,78,0,2
3,READ,JOL C,U,45,0,2
3,READ,JOL C,U,40,0,2
3,READ,JOL C,U,10,0,2
3,READ,JOL C,U,10,0,2
3,READ,JOL C,U,4,0,2
3,READ,JOL C,U,89,1,2
3,READ,JOL C,U,5,0,2
3,READ,JOL C,U,45,0,2
3,READ,JOL C,U,10,1,2
3,READ,JOL C,U,20,0,2
3,READ,JOL C,U,2,1,2
3,READ,JOL C,U,6,0,2
3,READ,JOL C,U,20,0,2
3,READ,JOL C,U,5,0,2
3,READ,JOL C,U,56,0,2
3,READ,JOL C,U,10,1,2
4,READ,JOL D,B,80,1,2
4,READ,JOL D,B,50,0,2
4,READ,JOL D,B,70,1,2
4,READ,JOL D,B,90,1,2
4,READ,JOL D,B,85,1,2
4,READ,JOL D,B,50,0,2
4,READ,JOL D,B,80,1,2
4,READ,JOL D,B,50,1,2
4,READ,JOL D,B,70,0,2
4,READ,JOL D,B,80,1,2
4,READ,JOL D,B,80,0,2
4,READ,JOL D,B,80,1,2
4,READ,JOL D,B,90,1,2
4,READ,JOL D,B,90,1,2
4,READ,JOL D,B,45,1,2
4,READ,JOL D,B,68,0,2
4,READ,JOL D,B,70,1,2
4,READ,JOL D,B,70,0,2
4,READ,JOL D,B,70,0,2
4,READ,JOL D,B,90,0,2
4,READ,JOL D,F,76,1,2
4,READ,JOL D,F,70,1,2
4,READ,JOL D,F,80,1,2
4,READ,JOL D,F,75,1,2
4,READ,JOL D,F,80,1,2
4,READ,JOL D,F,60,1,2
4,READ,JOL D,F,85,0,2
4,READ,JOL D,F,80,1,2
4,READ,JOL D,F,90,1,2
4,READ,JOL D,F,80,1,2
4,READ,JOL D,F,50,1,2
4,READ,JOL D,F,8,1,2
4,READ,JOL D,F,90,1,2
4,READ,JOL D,F,90,1,2
4,READ,JOL D,F,70,1,2
4,READ,JOL D,F,70,1,2
4,READ,JOL D,F,70,1,2
4,READ,JOL D,F,90,0,2
4,READ,JOL D,F,90,1,2
4,READ,JOL D,F,60,1,2
4,READ,JOL D,S,70,1,2
4,READ,JOL D,S,80,1,2
4,READ,JOL D,S,90,1,2
4,READ,JOL D,S,80,1,2
4,READ,JOL D,S,60,1,2
