"ExperimentName","Subject","Block","Direction","JOL","RT","Recall","type"
"READ_JOL B",14,1,"F",95,7173,100,"READ"
"READ_JOL B",14,1,"F",85,3930,0,"READ"
"READ_JOL B",14,1,"F",79,8488,100,"READ"
"READ_JOL B",14,1,"F",1,7936,0,"READ"
"READ_JOL B",14,1,"F",100,3351,100,"READ"
"READ_JOL B",14,1,"F",100,4117,100,"READ"
"READ_JOL B",14,1,"F",100,3404,100,"READ"
"READ_JOL B",14,1,"B",90,5835,100,"READ"
"READ_JOL B",14,1,"B",100,4116,100,"READ"
"READ_JOL B",14,1,"B",100,3774,0,"READ"
"READ_JOL B",14,1,"B",70,4826,0,"READ"
"READ_JOL B",14,1,"B",80,5722,100,"READ"
"READ_JOL B",14,1,"B",35,9355,100,"READ"
"READ_JOL B",14,1,"B",30,9456,100,"READ"
"READ_JOL B",14,1,"B",80,3658,100,"READ"
"READ_JOL B",14,1,"B",100,3192,100,"READ"
"READ_JOL B",14,1,"B",100,4215,100,"READ"
"READ_JOL B",14,1,"B",50,9558,100,"READ"
"READ_JOL B",14,1,"B",85,6427,100,"READ"
"READ_JOL B",14,1,"B",98,9233,100,"READ"
"READ_JOL B",14,1,"B",65,5020,100,"READ"
"READ_JOL B",14,1,"B",65,8059,0,"READ"
"READ_JOL B",14,1,"B",89,5917,0,"READ"
"READ_JOL B",14,1,"B",1,12193,0,"READ"
"READ_JOL B",14,1,"B",100,3502,0,"READ"
"READ_JOL B",14,1,"B",100,3268,100,"READ"
"READ_JOL B",14,1,"B",100,3764,0,"READ"
"READ_JOL B",14,1,"S",100,4678,100,"READ"
"READ_JOL B",14,1,"S",70,8125,100,"READ"
"READ_JOL B",14,1,"S",0,5685,100,"READ"
"READ_JOL B",14,1,"S",100,5152,100,"READ"
"READ_JOL B",14,1,"S",100,7667,100,"READ"
"READ_JOL B",14,1,"S",65,8069,100,"READ"
"READ_JOL B",14,1,"S",100,4953,100,"READ"
"READ_JOL B",14,1,"S",100,5254,100,"READ"
"READ_JOL B",14,1,"S",80,5302,100,"READ"
"READ_JOL B",14,1,"S",100,4795,100,"READ"
"READ_JOL B",14,1,"S",100,4660,100,"READ"
"READ_JOL B",14,1,"S",99,6902,100,"READ"
"READ_JOL B",14,1,"S",100,6222,100,"READ"
"READ_JOL B",14,1,"S",99,7164,0,"READ"
"READ_JOL B",14,1,"S",1,14877,100,"READ"
"READ_JOL B",14,1,"S",100,4713,100,"READ"
"READ_JOL B",14,1,"S",89,6825,100,"READ"
"READ_JOL B",14,1,"S",70,6378,100,"READ"
"READ_JOL B",14,1,"S",45,7513,100,"READ"
"READ_JOL B",14,1,"S",99,9800,0,"READ"
"READ_JOL B",14,1,"U",0,4112,0,"READ"
"READ_JOL B",14,1,"U",15,7051,100,"READ"
"READ_JOL B",14,1,"U",5,7442,0,"READ"
"READ_JOL B",14,1,"U",0,16636,0,"READ"
"READ_JOL B",14,1,"U",10,9699,0,"READ"
"READ_JOL B",14,1,"U",10,10205,100,"READ"
"READ_JOL B",14,1,"U",0,6910,0,"READ"
"READ_JOL B",14,1,"U",15,14624,0,"READ"
"READ_JOL B",14,1,"U",70,8936,0,"READ"
"READ_JOL B",14,1,"U",0,10665,0,"READ"
"READ_JOL B",14,1,"U",15,12820,100,"READ"
"READ_JOL B",14,1,"U",5,6535,0,"READ"
"READ_JOL B",14,1,"U",20,11680,0,"READ"
"READ_JOL B",14,1,"U",1,7096,0,"READ"
"READ_JOL B",14,1,"U",0,6022,0,"READ"
"READ_JOL B",14,1,"U",0,8404,0,"READ"
"READ_JOL B",14,1,"U",0,9906,100,"READ"
"READ_JOL B",14,1,"U",50,9124,0,"READ"
"READ_JOL B",14,1,"U",20,6566,100,"READ"
"READ_JOL B",14,1,"U",5,7008,100,"READ"
"READ_JOL B",14,2,"F",5,5885,100,"READ"
"READ_JOL B",14,2,"F",100,5433,100,"READ"
"READ_JOL B",14,2,"F",80,4598,100,"READ"
"READ_JOL B",14,2,"F",0,3239,100,"READ"
"READ_JOL B",14,2,"F",80,5037,0,"READ"
"READ_JOL B",14,2,"F",100,5782,100,"READ"
"READ_JOL B",14,2,"F",45,5017,100,"READ"
"READ_JOL B",14,2,"F",99,3814,100,"READ"
"READ_JOL B",14,2,"F",15,6273,100,"READ"
"READ_JOL B",14,2,"F",100,4699,100,"READ"
"READ_JOL B",14,2,"F",100,3549,0,"READ"
"READ_JOL B",14,2,"F",90,5358,100,"READ"
"READ_JOL B",14,2,"F",100,6509,100,"READ"
"READ_JOL B",14,2,"F",0,4025,0,"READ"
"READ_JOL B",14,2,"F",99,4728,100,"READ"
"READ_JOL B",14,2,"F",100,3937,100,"READ"
"READ_JOL B",14,2,"F",65,7792,100,"READ"
"READ_JOL B",14,2,"F",100,3891,100,"READ"
"READ_JOL B",14,2,"F",20,7523,100,"READ"
"READ_JOL B",14,2,"F",100,4183,100,"READ"
"READ_JOL B",14,2,"B",1,6375,0,"READ"
"READ_JOL B",14,2,"B",80,5880,0,"READ"
"READ_JOL B",14,2,"B",55,9427,100,"READ"
"READ_JOL B",14,2,"B",0,6321,0,"READ"
"READ_JOL B",14,2,"B",99,5653,100,"READ"
"READ_JOL B",14,2,"B",99,7480,0,"READ"
"READ_JOL B",14,2,"B",80,7299,100,"READ"
"READ_JOL B",14,2,"B",89,6898,0,"READ"
"READ_JOL B",14,2,"B",100,3723,100,"READ"
"READ_JOL B",14,2,"B",80,6008,100,"READ"
"READ_JOL B",14,2,"B",30,5199,100,"READ"
"READ_JOL B",14,2,"B",20,5402,100,"READ"
"READ_JOL B",14,2,"B",15,6491,0,"READ"
"READ_JOL B",14,2,"B",0,6561,100,"READ"
"READ_JOL B",14,2,"B",0,4119,0,"READ"
"READ_JOL B",14,2,"B",50,8480,0,"READ"
"READ_JOL B",14,2,"B",70,5104,100,"READ"
"READ_JOL B",14,2,"B",99,4988,0,"READ"
"READ_JOL B",14,2,"B",70,6416,0,"READ"
"READ_JOL B",14,2,"B",20,5380,100,"READ"
"READ_JOL B",14,2,"S",95,8799,100,"READ"
"READ_JOL B",14,2,"S",45,4182,100,"READ"
"READ_JOL B",14,2,"S",20,5235,100,"READ"
"READ_JOL B",14,2,"S",60,4362,100,"READ"
"READ_JOL B",14,2,"S",99,4823,100,"READ"
"READ_JOL B",14,2,"S",65,6332,0,"READ"
"READ_JOL B",14,2,"S",80,14140,100,"READ"
"READ_JOL B",14,2,"S",99,4236,100,"READ"
"READ_JOL B",14,2,"S",100,4266,100,"READ"
