Subject,type,Group,Direction,Bin,Recall
2,READ,JOL B,S,40,100
2,READ,JOL B,S,60,100
2,READ,JOL B,U,0,0
2,READ,JOL B,U,20,0
2,READ,JOL B,U,0,0
2,READ,JOL B,U,0,100
2,READ,JOL B,U,0,0
2,READ,JOL B,U,10,0
2,READ,JOL B,U,0,0
2,READ,JOL B,U,10,100
2,READ,JOL B,U,10,0
2,READ,JOL B,U,10,0
2,READ,JOL B,U,10,0
2,READ,JOL B,U,10,0
2,READ,JOL B,U,0,0
2,READ,JOL B,U,0,100
2,READ,JOL B,U,10,0
2,READ,JOL B,U,10,0
2,READ,JOL B,U,0,0
2,READ,JOL B,U,10,100
2,READ,JOL B,U,0,0
3,READ,JOL C,F,10,0
3,READ,JOL C,F,40,100
3,READ,JOL C,F,100,0
3,READ,JOL C,F,20,100
3,READ,JOL C,F,10,0
3,READ,JOL C,F,60,0
3,READ,JOL C,F,10,0
3,READ,JOL C,F,70,100
3,READ,JOL C,F,100,0
3,READ,JOL C,F,100,100
3,READ,JOL C,F,0,100
3,READ,JOL C,F,100,100
3,READ,JOL C,F,0,100
3,READ,JOL C,F,80,0
3,READ,JOL C,F,80,0
3,READ,JOL C,F,40,100
3,READ,JOL C,F,50,100
3,READ,JOL C,F,0,0
3,READ,JOL C,F,100,0
3,READ,JOL C,B,10,100
3,READ,JOL C,B,100,100
3,READ,JOL C,B,80,0
3,READ,JOL C,B,50,100
3,READ,JOL C,B,30,100
3,READ,JOL C,B,40,0
3,READ,JOL C,B,30,0
3,READ,JOL C,B,100,0
3,READ,JOL C,B,50,100
3,READ,JOL C,B,40,100
3,READ,JOL C,B,30,100
3,READ,JOL C,B,50,0
3,READ,JOL C,B,20,100
3,READ,JOL C,B,90,0
3,READ,JOL C,B,100,0
3,READ,JOL C,B,100,100
3,READ,JOL C,B,100,100
3,READ,JOL C,B,30,0
3,READ,JOL C,B,90,100
3,READ,JOL C,B,100,100
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,0
3,READ,JOL C,S,90,100
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,0
3,READ,JOL C,S,70,0
3,READ,JOL C,S,100,100
3,READ,JOL C,S,40,0
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,0
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,0
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,0
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,100
3,READ,JOL C,S,100,100
3,READ,JOL C,U,30,0
3,READ,JOL C,U,20,0
3,READ,JOL C,U,30,0
3,READ,JOL C,U,80,0
3,READ,JOL C,U,50,0
3,READ,JOL C,U,40,0
3,READ,JOL C,U,10,0
3,READ,JOL C,U,10,0
3,READ,JOL C,U,0,0
3,READ,JOL C,U,90,100
3,READ,JOL C,U,10,0
3,READ,JOL C,U,50,0
3,READ,JOL C,U,10,100
3,READ,JOL C,U,20,0
3,READ,JOL C,U,0,100
3,READ,JOL C,U,10,0
3,READ,JOL C,U,20,0
3,READ,JOL C,U,10,0
3,READ,JOL C,U,60,0
3,READ,JOL C,U,10,100
4,READ,JOL D,B,80,100
4,READ,JOL D,B,50,0
4,READ,JOL D,B,70,100
4,READ,JOL D,B,90,100
4,READ,JOL D,B,90,100
4,READ,JOL D,B,50,0
4,READ,JOL D,B,80,100
4,READ,JOL D,B,50,100
4,READ,JOL D,B,70,0
4,READ,JOL D,B,80,100
4,READ,JOL D,B,80,0
4,READ,JOL D,B,80,100
4,READ,JOL D,B,90,100
4,READ,JOL D,B,90,100
4,READ,JOL D,B,50,100
4,READ,JOL D,B,70,0
