Encoding,Direction,Measure,Mean,Upper,Lower
IS,F,JOL,68.67,74.62,62.72
IS,B,JOL,69.55,75.96,63.14
IS,S,JOL,71.62,76.86,66.38
IS,U,JOL,40.64,48.13,33.15
IS,F,RECALL,78.84,84.31,73.37
IS,B,RECALL,59.01,65.86,52.16
IS,S,RECALL,78.24,84.29,72.19
IS,U,RECALL,14.35,18.7,10
RL,F,JOL,72.96,77.82,68.1
RL,B,JOL,71.55,77.07,66.03
RL,S,JOL,75.77,80.59,70.95
RL,U,JOL,36.59,42.49,30.69
RL,F,RECALL,77.22,83.31,71.13
RL,B,RECALL,50.49,57.45,43.53
RL,S,RECALL,74.41,80.35,68.47
RL,U,RECALL,32.52,40.6,24.44
READ,F,JOL,70.04,73.93,66.15
READ,B,JOL,68.62,73.01,64.23
READ,S,JOL,80.22,84.42,76.02
READ,U,JOL,24.85,30.53,19.17
READ,F,RECALL,62.23,69.19,55.27
READ,B,RECALL,37.78,43.69,31.87
READ,S,RECALL,64.85,71.19,58.51
READ,U,RECALL,14.76,18.72,10.8
